Species,Processor,Duration_sec,Output_size_MB,Num_models
Gallus gallus,22,209.89,2.28,15710
Gallus gallus,23,218.42,2.28,15710
Gallus gallus,24,196.73,2.28,15710
Gallus gallus,25,182.95,2.28,15710
Gallus gallus,26,185.77,2.28,15710
Gallus gallus,27,196.56,2.28,15710
Gallus gallus,28,179.06,2.28,15710
Gallus gallus,29,179.52,2.28,15710
Gallus gallus,30,162.99,2.28,15710
Gallus gallus,31,172.17,2.28,15710
Gallus gallus,32,190.4,2.28,15710
Gallus gallus,33,170.41,2.28,15710
Gallus gallus,34,176.84,2.28,15710
Gallus gallus,35,183.78,2.28,15710
Gallus gallus,36,169.01,2.28,15710
Gallus gallus,37,184.98,2.28,15710
Gallus gallus,38,185.19,2.28,15710
Gallus gallus,39,188.65,2.28,15710
Gallus gallus,40,187.1,2.28,15710
Gallus gallus,41,190.75,2.28,15710
Gallus gallus,42,200.18,2.28,15710
Gallus gallus,43,210.9,2.28,15710
Gallus gallus,44,193.21,2.28,15710
Gallus gallus,45,180.32,2.28,15710
Gallus gallus,46,188.51,2.28,15710
Gallus gallus,47,190.39,2.28,15710
Gallus gallus,48,176.07,2.28,15710
Gallus gallus,49,179.57,2.28,15710
Gallus gallus,50,187.91,2.28,15710
Gallus gallus,51,180.87,2.28,15710
Gallus gallus,52,176.1,2.28,15710
Gallus gallus,53,175.94,2.28,15710
Gallus gallus,54,196.73,2.28,15710
Gallus gallus,55,196.76,2.28,15710
Gallus gallus,56,202.82,2.28,15710
Gallus gallus,57,197.09,2.28,15710
Gallus gallus,58,218.29,2.28,15710
Gallus gallus,59,208.84,2.28,15710
Gallus gallus,60,220.57,2.28,15710
Gallus gallus,61,214.92,2.28,15710
Gallus gallus,62,216.09,2.28,15710
Gallus gallus,63,229.89,2.28,15710
Gallus gallus,64,220.25,2.28,15710
Gallus gallus,65,230.69,2.28,15710
Gallus gallus,66,212.61,2.28,15710
Gallus gallus,67,209.57,2.28,15710
Gallus gallus,68,209.69,2.28,15710
Gallus gallus,69,219.03,2.28,15710
Gallus gallus,70,219.8,2.28,15710
Gallus gallus,71,227.28,2.28,15710
Gallus gallus,72,215.48,2.28,15710
Gallus gallus,73,219.06,2.28,15710
Gallus gallus,74,217.47,2.28,15710
Gallus gallus,75,241.22,2.28,15710
Gallus gallus,76,247.12,2.28,15710
Gallus gallus,77,242.35,2.28,15710
Gallus gallus,78,255.17,2.28,15710
Gallus gallus,79,263.17,2.28,15710
Gallus gallus,80,258.77,2.28,15710
Gallus gallus,81,256.43,2.28,15710
Gallus gallus,82,274.12,2.28,15710
Gallus gallus,83,289.45,2.28,15710
Gallus gallus,84,295.78,2.28,15710
Gallus gallus,85,291.62,2.28,15710
Gallus gallus,86,279.43,2.28,15710
Gallus gallus,87,272.43,2.28,15710
Gallus gallus,88,278.91,2.28,15710
Gallus gallus,89,297.36,2.28,15710
Gallus gallus,90,306.58,2.28,15710
Gallus gallus,91,302.52,2.28,15710
Gallus gallus,92,282.12,2.28,15710
Gallus gallus,93,297.75,2.28,15710
Gallus gallus,94,325.45,2.28,15710
Gallus gallus,95,306.06,2.28,15710
Gallus gallus,96,308.72,2.28,15710
Gallus gallus,97,307.08,2.28,15710
Gallus gallus,98,333.9,2.28,15710
Gallus gallus,99,334.69,2.28,15710
Gallus gallus,100,349.41,2.28,15710
Gallus gallus,101,346.27,2.28,15710
Gallus gallus,102,346.04,2.28,15710
Gallus gallus,103,343.02,2.28,15710
Gallus gallus,104,338.92,2.28,15710
Gallus gallus,105,342.43,2.28,15710
Gallus gallus,106,348.97,2.28,15710
Gallus gallus,107,341.39,2.28,15710
Gallus gallus,108,369.61,2.28,15710
Gallus gallus,109,373.88,2.28,15710
Gallus gallus,110,361.47,2.28,15710
Gallus gallus,111,382.37,2.28,15710
Gallus gallus,112,380.63,2.28,15710
Gallus gallus,113,376.16,2.28,15710
Gallus gallus,114,380.6,2.28,15710
Gallus gallus,115,382.56,2.28,15710
Gallus gallus,116,380.88,2.28,15710
Gallus gallus,117,413.65,2.28,15710
Gallus gallus,118,396.09,2.28,15710
Gallus gallus,119,394.06,2.28,15710
Gallus gallus,120,406.79,2.28,15710
Gallus gallus,121,410.65,2.28,15710
Gallus gallus,122,401.77,2.28,15710
Gallus gallus,123,416.81,2.28,15710
Gallus gallus,124,444.22,2.28,15710
Gallus gallus,125,435.74,2.28,15710
Gallus gallus,126,456.62,2.28,15710
Gallus gallus,127,463.63,2.28,15710
Gallus gallus,128,450.28,2.28,15710
Medicago truncatula,1,1116.12,3.09,25712
Medicago truncatula,2,624.24,3.09,25712
Medicago truncatula,3,453.18,3.09,25712
Medicago truncatula,4,348.14,3.09,25712
Medicago truncatula,5,299.61,3.09,25712
Medicago truncatula,6,356.31,3.09,25712
Medicago truncatula,7,232.15,3.09,25712
Medicago truncatula,8,313.51,3.09,25712
Medicago truncatula,9,228.66,3.09,25712
Medicago truncatula,10,171.18,3.09,25712
Medicago truncatula,11,168,3.09,25712
Medicago truncatula,12,191.74,3.09,25712
Medicago truncatula,13,195.54,3.09,25712
Medicago truncatula,14,197.19,3.09,25712
Medicago truncatula,15,207.44,3.09,25712
Medicago truncatula,16,177.42,3.09,25712
Medicago truncatula,17,139.75,3.09,25712
Medicago truncatula,18,188.01,3.09,25712
Medicago truncatula,19,142.71,3.09,25712
Medicago truncatula,20,147.02,3.09,25712
Medicago truncatula,21,132.85,3.09,25712
Medicago truncatula,22,161.25,3.09,25712
Medicago truncatula,23,140.47,3.09,25712
Medicago truncatula,24,199.99,3.09,25712
Medicago truncatula,25,190.88,3.09,25712
Medicago truncatula,26,179,3.09,25712
Medicago truncatula,27,136,3.09,25712
Medicago truncatula,28,146.1,3.09,25712
Medicago truncatula,29,147.73,3.09,25712
Medicago truncatula,30,142.55,3.09,25712
Medicago truncatula,31,128.97,3.09,25712
Medicago truncatula,32,136.57,3.09,25712
Medicago truncatula,33,155.23,3.09,25712
Medicago truncatula,34,142.03,3.09,25712
Medicago truncatula,35,171.19,3.09,25712
Medicago truncatula,36,137.58,3.09,25712
Medicago truncatula,37,139.12,3.09,25712
Medicago truncatula,38,128.37,3.09,25712
Medicago truncatula,39,123.86,3.09,25712
Medicago truncatula,40,131.41,3.09,25712
Medicago truncatula,41,159.23,3.09,25712
Medicago truncatula,42,144.6,3.09,25712
Medicago truncatula,43,140.11,3.09,25712
Medicago truncatula,44,195.9,3.09,25712
Medicago truncatula,45,146.08,3.09,25712
Medicago truncatula,46,150.9,3.09,25712
Medicago truncatula,47,148.01,3.09,25712
Medicago truncatula,48,157.59,3.09,25712
Medicago truncatula,49,138.56,3.09,25712
Medicago truncatula,50,142.72,3.09,25712
